gender_Female,gender_Male,job_Argiculture,job_Entertainment,job_Financial Services,job_Health,job_IT,job_Manufacturing,job_Property,job_Retail,car_No,state_NSW,state_QLD,age,wealth_segment,tenure,property_valuation,profit
1,0,0,0,0,1,0,0,0,0,0,1,0,64,1,11.0,10,274.3718181818181
0,1,0,0,1,0,0,0,0,0,0,1,0,37,1,16.0,10,742.0866666666667
0,1,0,0,0,0,1,0,0,0,1,0,1,56,1,7.0,9,110.285
1,0,0,0,0,0,0,0,0,0,0,1,0,40,2,8.0,4,399.15666666666675
0,1,0,0,0,0,0,0,0,1,0,0,0,51,3,13.0,9,789.3100000000001
1,0,0,0,1,0,0,0,0,0,0,1,0,41,2,11.0,9,73.36999999999999
0,1,0,0,0,0,0,0,0,0,1,1,0,55,1,7.0,4,706.6939999999998
1,0,1,0,0,0,0,0,0,0,0,1,0,44,2,8.0,12,392.18499999999995
0,1,0,0,0,0,0,0,1,0,1,0,0,63,1,9.0,8,606.4733333333334
0,1,0,0,0,0,0,1,0,0,1,0,1,23,1,8.0,4,505.71857142857147
0,1,0,0,1,0,0,0,0,0,0,0,0,62,3,8.0,6,619.6257142857143
1,0,0,0,1,0,0,0,0,0,1,1,0,34,2,6.0,8,571.3000000000001
0,1,0,0,0,0,0,1,0,0,1,1,0,17,1,1.0,9,288.065
0,1,0,0,0,0,0,0,0,0,0,0,0,40,1,18.0,4,904.368
0,1,0,0,0,0,0,0,0,0,0,0,0,55,2,15.0,9,403.122
1,0,0,0,0,0,0,0,0,0,1,1,0,50,2,11.0,12,506.19714285714286
1,0,0,0,0,0,0,1,0,0,1,1,0,16,3,1.0,9,983.93
0,1,0,0,0,0,0,1,0,0,1,1,0,37,1,11.0,8,902.0699999999999
0,1,0,0,0,0,0,1,0,0,0,1,0,37,2,16.0,7,845.882
1,0,1,0,0,0,0,0,0,0,0,1,0,40,1,15.0,10,527.05
0,1,0,0,1,0,0,0,0,0,0,0,1,41,1,21.0,3,444.47166666666664
1,0,0,0,1,0,0,0,0,0,0,0,1,39,1,16.0,5,134.11999999999995
0,1,0,0,0,1,0,0,0,0,0,0,0,39,1,12.0,7,467.75
0,1,0,0,0,1,0,0,0,0,0,0,1,44,2,21.0,4,561.0933333333334
1,0,0,0,0,0,0,1,0,0,1,0,1,49,1,19.0,7,686.1444444444444
0,1,0,0,0,0,1,0,0,0,0,1,0,56,2,6.0,11,877.9833333333332
1,0,0,0,0,0,0,0,0,0,0,1,0,55,3,14.0,12,106.52749999999999
1,0,0,0,0,0,0,1,0,0,1,1,0,22,2,4.0,9,403.30285714285714
0,1,0,0,0,0,0,0,0,0,0,1,0,60,2,11.0,9,858.4083333333334
0,0,0,0,0,0,1,0,0,0,1,0,1,174,2,20.0,8,603.1987500000001
1,0,0,0,0,1,0,0,0,0,0,0,1,54,3,16.0,6,926.6275
1,0,0,0,0,0,0,0,0,0,1,1,0,40,2,22.0,8,102.17999999999999
1,0,0,0,0,1,0,0,0,0,1,0,1,32,3,16.0,1,704.2766666666666
1,0,0,0,1,0,0,0,0,0,1,0,1,62,2,20.0,4,506.33500000000004
0,1,0,1,0,0,0,0,0,0,1,1,0,38,1,22.0,10,507.09749999999985
1,0,0,0,0,0,0,1,0,0,1,1,0,36,2,14.0,8,758.6833333333333
0,1,0,0,0,1,0,0,0,0,1,0,0,41,1,16.0,9,566.46
1,0,0,0,0,0,0,1,0,0,1,0,0,40,1,18.0,10,106.75999999999999
1,0,0,0,0,0,0,0,0,1,1,0,1,34,1,5.0,8,402.21666666666675
